,store_name,address,taste_score,quantity_score,delivery_score,review,review_time
0,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,잘먹었습니다 너무 맛나서 금방 해치웠어요!,1시간 전
1,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,맛있게 잘 먹었습니다,17시간 전
2,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,가성비 좋구 맛있습니다 배달도 빨라용,18시간 전
3,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,맛있게 잘 먹었어요,23시간 전
4,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,잘 먹었습니다! 또 주문하러 올게요!,어제
5,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,배달도 빠르고 초밥이랑 덮밥 다 맛있어요,어제
6,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,먹어도 먹어도 안 질리고 맛있어요!,어제
7,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,오늘 또 시켰습니다 잘먹을게요 ㅎㅎ,어제
8,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,언제 먹어도 맛있어요... 정말 잘 먹었습니다. 또 주문하러 올게요!,2일 전
9,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,연어 찍어먹는 소스랑 날치알이 안와서 아쉬웠습니당ㅠ,3일 전
10,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,역시 맛있고 연어 부드러워요,3일 전
11,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,,맛있게 잘 먹었습니다,3일 전
12,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,오늘도 맛있게 먹었습니다 🥰,3일 전
13,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,아주아주 맛있습니다! 육회랑 연어 모두 신선하구요 양념장도 맛있어요!,4일 전
14,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있게 먹고 있습니다,5일 전
15,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"맛 양 질 삼위일체..
무조건 드세요",5일 전
16,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,배달 빠르고 신선하니 넘 맛있습니다~!,5일 전
17,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,굿,5일 전
18,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,꿀도 안 들어갔는데 꿀맛! XD,6일 전
19,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,오늘도 맛있게 잘 먹었습니당🎶🌀🤍,6일 전
20,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"3번인가 4번째 시키는중..
그리고 더 시켜먹을 예정",일주일 전
21,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"간만에 육회땡겨서 시켰어요
오랜만이라 그런지 더 맛있는 기분ㅋㅋㅋ
덕분억 혼술 즐겁게했어요 굿굿",일주일 전
22,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,너무 맛있어요~~~~~,일주일 전
23,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,계란노른자랑 온육수 추가 꼭 하세요 넘 맛있어요!!,일주일 전
24,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,처음 시켜봤는데 너무너무 맛있었어요 육쫄도 먹어보고 싶었는데 2인분만 있어서 못시켰네요 번창하세요,2024년 3월 29일
25,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있게 잘 먹었습니다,2024년 3월 29일
26,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,연어 상태도 좋고 육회도 맛있어요!!,2024년 3월 29일
27,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있어요!!!,2024년 3월 29일
28,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,3,4,4,"음... 좀 실망스럽네요 별점이 좋아서 기대했는데
해동이 너무 덜 됐는지 육회는 서걱서걱하고 
배 상태도 안 좋고... ㅎㅎ",2024년 3월 28일
29,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있게 잘먹고있습니다 ㅎㅎ,2024년 3월 28일
30,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"늘 맛있습니다
번창하세요",2024년 3월 28일
31,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,배달도 빠르고 맛도 있고 만족해요,2024년 3월 27일
32,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,육회도 맛있고 특히 소스랑 잘 어울렸어요,2024년 3월 26일
33,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있게 잘 먹었습니다,2024년 3월 26일
34,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있어요~~~ 육회초밥도 잘 먹었습니다.,2024년 3월 26일
35,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,육회가 신선하고 양도 많아서 너무 잘 먹었어요!,2024년 3월 25일
36,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,역시 믿고 먹어요! 요청사항도 잘 들어주셔서 감사합니다 🥰,2024년 3월 25일
37,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있게 잘 먹었습니다 ㅎㅎ,2024년 3월 24일
38,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,넘 맛있어요 ㅎㅎㅎ 번창하세요,2024년 3월 23일
39,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"사장님 항상 맛있게먹어요
도대체 비법이 믑니까?",2024년 3월 23일
